Νομός_Δήμος_Κοινότητα,Νέες_οικοδομές,Προσθήκες,Επισκευές,Αναπαλαιώσεις,Κατεδαφίσεις

ΑΤΤΙΚΗ                           ,9937,2650,2052,38,3434 
ΝΟΜΑΡΧΙΑ ΑΘΗΝΩΝ                 ,3911,1368,1492,25,2276 
Αθηναίων                      ,567,82,591,14,517 
Αγίας Βαρβάρας                ,28,21,11,0,13 
Αγίας Παρασκευής              ,121,30,48,0,51 
Αγίου Δημητρίου               ,118,64,27,1,49 
Αγίων Αναργύρων               ,45,41,20,0,30 
Αιγάλεω                       ,127,43,34,0,85 
Αλίμου                        ,72,36,20,0,32 
Αμαρουσίου                    ,144,46,39,1,59 
Αργυρούπολης                  ,48,40,16,0,36 
Βριλησσίων                    ,43,19,10,0,15 
Βύρωνος                       ,79,28,21,0,59 
Γαλατσίου                     ,37,19,10,0,35 
Γλυφάδας                      ,171,65,76,0,77 
Δάφνης                        ,46,21,14,0,39 
Ελληνικού                     ,17,11,9,0,12 
Ζωγράφου                      ,51,9,17,0,49 
Ηλιούπολης                    ,112,60,32,0,71 
Ηρακλείου                     ,70,32,14,1,34 
Ιλίου (Νέων Λιοσίων)          ,185,82,28,0,76 
Καισαριανής                   ,29,10,6,0,47 
Καλλιθέας                     ,75,18,37,0,72 
Καματερού                     ,198,22,9,0,7 
Κηφισιάς                      ,125,31,68,1,43 
Λυκοβρύσεως                   ,21,10,3,0,6 
Μελισσίων                     ,50,14,13,0,16 
Μεταμορφώσεως                 ,68,24,16,1,16 
Μοσχάτου                      ,50,18,5,0,48 
Νέας Ερυθραίας                ,57,14,9,0,21 
Νέας Ιωνίας                   ,92,29,16,1,54 
Νέας Σμύρνης                  ,102,24,24,0,103 
Νέας Φιλαδελφείας             ,50,21,6,1,24 
Νέας Χαλκηδόνος               ,17,12,3,0,12 
Νέου Ψυχικού                  ,8,1,7,0,9 
Παλαιού Φαλήρου               ,63,25,34,0,41 
Παπάγου                       ,21,15,6,0,21 
Περιστερίου                   ,241,126,44,0,123 
Πετρούπολης                   ,114,53,13,0,55 
Πεύκης                        ,29,6,4,0,7 
Ταύρου                        ,23,8,8,0,21 
Υμηττού                       ,24,9,5,0,22 
Φιλοθέης                      ,9,1,4,0,11 
Χαϊδαρίου                     ,86,38,21,0,39 

Χαλανδρίου                    ,171,49,41,2,59 
Χολαργού                      ,18,5,14,0,21 
Ψυχικού                       ,19,8,22,2,25 
Εκάλης                        ,21,12,10,0,5 
Νέας Πεντέλης                 ,29,10,5,0,4 
Πεντέλης                      ,20,6,2,0,5 
ΝΟΜΑΡΧΙΑ_ΑΝΑΤΟΛΙΚΗΣ_ΑΤΤΙΚΗΣ     ,3723,548,250,6,365 
Παλλήνης                      ,142,25,9,0,19 
Αγίου Στεφάνου                ,113,16,7,0,16 
Αρτέμιδας                     ,269,31,6,1,23 
Αυλώνος                       ,51,4,3,0,0 
Αχαρνών                       ,476,74,12,1,40 
Βάρης                         ,134,9,5,0,19 
Βούλας                        ,1,1,0,0,0 
Βουλιαγμένης                  ,6,3,13,0,0 
Γέρακα                        ,260,25,4,0,25 
Γλυκών Νερών                  ,71,14,1,0,7 
Καλυβίων Θορικού              ,142,35,11,1,16 
Κερατέας                      ,85,19,8,0,8 
Κρωπίας                       ,189,40,13,0,11 
Λαυρεωτικής                   ,20,7,16,1,2 
Μαραθώνος                     ,126,18,8,0,12 
Μαρκοπούλου Μεσογαίας         ,428,56,51,1,51 
Νέας Μάκρης                   ,134,20,14,1,15 
Παιανίας                      ,82,23,5,0,19 
Ραφήνας                       ,69,9,21,0,8 
Σπάτων Λούτσας                ,80,14,4,0,5 
Αγίου Κωνσταντίνου            ,5,1,1,0,1 
Αναβύσσου                     ,21,8,7,0,1 
Ανθούσης                      ,7,1,1,0,0 
Ανοίξεως                      ,40,7,0,0,8 
Αφιδνών                       ,91,6,3,0,5 
Βαρνάβα                       ,60,2,3,0,2 
Γραμματικού                   ,22,5,0,0,1 
Διονύσου                      ,48,3,2,0,4 
Δροσιάς                       ,36,14,1,0,9 
Θρακομακεδόνων                ,25,2,1,0,4 
Καλάμου                       ,26,1,3,0,0 
Καπανδριτίου                  ,151,24,5,0,9 
Κουβαρά                       ,21,3,0,0,2 
Κρυονερίου                    ,54,4,2,0,8 
